% Model:              temp.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 8 2023, 22:08
% Dimension:          3
% Nodes:              218
% Expressions:        1
% Description:        体
% X                       Y                        Z                        Color
0                         0.5                      3                        -0.024817836679697766
0.5                       0.5000000000000001       3                        -0.02678763744326745
0.5                       0                        3                        -0.045150093932950705
0                         1                        2.9999999999999996       -0.006665385817672151
0.5000000000000002        1.0000000000000002       3.0000000000000004       -0.008238240595969532
1.0000000000000002        0.5000000000000001       3.0000000000000004       -0.02831903371977405
1                         0                        2.9999999999999996       -0.04707843619472961
0                         1.5                      3                        0.011674005401968125
0.5                       1.5000000000000002       3                        0.010498096608943047
1.0000000000000002        1.0000000000000002       3.0000000000000004       -0.009372690887203836
1.5000000000000002        0.5                      3.0000000000000004       -0.02941202550921757
1.5                       0                        3                        -0.048568373969445425
0                         2                        2.9999999999999996       0.03020033697922307
0.5                       2                        3.0000000000000004       0.029421374171470293
1                         1.5000000000000002       3                        0.009760592302981052
1.5000000000000002        1                        3.000000000000001        -0.01006873669137506
2                         0.5                      3.0000000000000004       -0.030066612811598014
2                         0                        2.9999999999999996       -0.04961990725709817
0                         2.5000000000000004       3.0000000000000004       0.04891360891409267
0.5                       2.5000000000000004       3.0000000000000013       0.048531592091612195
1                         2                        3.0000000000000004       0.029080815850780588
1.5                       1.5                      3                        0.009461492484082132
2.0000000000000004        1                        3.0000000000000004       -0.010326378008483194
2.5000000000000004        0.5                      3.000000000000001        -0.030282795626915368
2.5000000000000004        0                        3.0000000000000004       -0.05023303605768783
0                         1.0000000000000002       2.5                      -0.006040817879828068
0                         0.5                      2.5                      -0.023135502220091753
0                         1.5000000000000002       2.500000000000001        0.01124080681805028
0                         2                        2.5000000000000004       0.028709371873543284
0                         2.5                      2.5000000000000004       0.04636487728665096
0                         3.0000000000000004       2.5000000000000013       0.06420732305737328
0                         1.5000000000000002       2.0000000000000004       0.007729286080042092
0                         1                        2                        -0.008494572096074321
0                         2.0000000000000004       2.0000000000000004       0.024140084613773163
0                         2.5                      2                        0.0407378235051189
0                         3                        2.0000000000000004       0.0575225027540793
0                         2                        1.5                      0.01649247519991271
0                         1.5                      1.5                      0.001139443187943569
0                         2.5000000000000004       1.5000000000000004       0.032032447569496504
0                         3                        1.5                      0.04775936029669498
0                         2.5                      1.0000000000000002       0.02024874947978379
0                         2                        0.9999999999999998       0.0057665436319619175
0                         3                        1.0000000000000004       0.03491789568522032
0                         3.000000000000001        0.5000000000000007       0.018998108919655324
0                         2.5000000000000004       0.5000000000000002       0.005386729235980725
0                         0                        3                        -0.042783347184108714
0                         3                        3                        0.06781382120657693
3                         0                        3                        -0.050407760371214395
0                         3                        0                        0
0                         0                        0.5                      -0.014052965554513994
0.5                       0                        1.0000000000000002       -0.030393179928165277
0.5                       0                        0.5                      -0.019781543736473044
0                         0                        1                        -0.025336968032829636
0.5000000000000002        0                        1.5000000000000002       -0.03823585304365916
1.0000000000000002        0                        1.5000000000000002       -0.042181294165308296
1                         0                        1                        -0.03501098733643782
0                         0                        1.5                      -0.03385200743494693
0.5                       0                        2                        -0.04330956308295469
1.0000000000000002        0                        2.0000000000000004       -0.04658263791798041
1.5000000000000002        0                        2                        -0.049417308265943066
1.5                       0                        1.5                      -0.04568833079989435
0                         0                        2                        -0.039598083760865876
0.5                       0                        2.5                      -0.04561431004605187
1                         0                        2.5                      -0.048215018594454186
1.5000000000000002        0                        2.5000000000000004       -0.05037732265579342
2                         0                        2.5                      -0.05210122223006957
2                         0                        2                        -0.05181357412684262
0                         0                        2.5000000000000004       -0.04257519701058647
2.5000000000000004        0                        2.5000000000000004       -0.05338671731728264
0                         0.5                      0.5000000000000001       -0.01016502659641505
0                         0.5                      0                        0
0                         0.5000000000000002       1.0000000000000002       -0.01756109011663175
0                         0.5                      1.5000000000000002       -0.022188190560650103
0                         0.5                      2                        -0.024046327928470106
0                         1.0000000000000002       0.5000000000000001       -0.006277087638316107
0                         1                        0                        0
0                         1.0000000000000002       1.0000000000000002       -0.009785212200433862
0                         1                        1.5000000000000002       -0.010524373686353271
0                         1.5000000000000002       0.5                      -0.00238914868021716
0                         1.5                      0                        0
0                         1.5000000000000002       1                        -0.0020093342842359705
0                         2                        0.5                      0.0014987902778817832
0                         2                        0                        0
0                         2.5000000000000004       0                        0
0                         0                        0                        0
0.5                       0                        0                        0
0.5000000000000001        0.5                      0                        0
1                         0                        0                        0
1.0000000000000002        0.5000000000000002       0                        0
0.5000000000000001        1.0000000000000002       0                        0
1.5                       0                        0                        0
1.5000000000000002        0.5                      0                        0
1.0000000000000002        1.0000000000000002       0                        0
0.5                       1.5000000000000002       0                        0
2                         0                        0                        0
2                         0.5                      0                        0
1.5000000000000002        1                        0                        0
1                         1.5000000000000002       0                        0
0.5                       2                        0                        0
2.5000000000000004        0                        0                        0
2.5000000000000004        0.5                      0                        0
2                         1                        0                        0
1.5                       1.5                      0                        0
1                         2.0000000000000004       0                        0
0.5                       2.5000000000000004       0                        0
1.0000000000000002        0                        0.5                      -0.019966021809596824
1.5000000000000002        0                        0.5000000000000002       -0.020150499882720604
2                         0                        0.5                      -0.020334977955844383
2.5                       0                        0.5                      -0.020519456028968167
3.0000000000000004        0                        0.5                      -0.020703934102091946
1.5000000000000002        0                        1.0000000000000002       -0.03537994348268538
2.0000000000000004        0                        1.0000000000000002       -0.03574889962893295
2.5                       0                        1                        -0.0361178557751805
3                         0                        1                        -0.03648681192142807
2                         0                        1.5000000000000002       -0.0462417650192657
2.5000000000000004        0                        1.5000000000000002       -0.04679519923863704
3                         0                        1.5                      -0.04734863345800838
2.5                       0                        2                        -0.05255148641933775
3                         0                        2.0000000000000004       -0.05328939871183287
3.000000000000001         0                        2.5000000000000004       -0.05430910768290155
3                         0                        0                        0
0.5                       3                        3                        0.06616394673879468
1.0000000000000002        2.5                      3                        0.0466446732372844
1                         2.9999999999999996       2.9999999999999996       0.06412021127869175
1.5000000000000002        2.500000000000001        3.0000000000000004       0.04436389339063591
1.5000000000000002        2.0000000000000004       3.0000000000000004       0.02695685260990724
1.5                       3                        3                        0.06168261482626811
2                         2.5000000000000004       3                        0.041689252551666736
2.0000000000000004        2.0000000000000004       3.0000000000000004       0.024439028376713204
2                         1.5                      3.0000000000000004       0.007100484856663228
2                         2.9999999999999996       2.9999999999999996       0.05885115738152379
2.5                       2.5000000000000004       3.0000000000000004       0.03862075072037686
2.5                       2                        3                        0.021527343151198478
2.5000000000000004        1.5000000000000004       3.000000000000001        0.004345616236923648
2.5                       1.0000000000000002       3.0000000000000004       -0.012924430022447635
2.5000000000000004        3.0000000000000004       3.0000000000000004       0.05562583894445879
3.0000000000000004        2.5000000000000013       3.0000000000000013       0.03515838789676631
3                         2.0000000000000004       3.0000000000000004       0.01822179693336307
3                         1.5                      3                        0.0011968866248633675
3                         1.0000000000000004       3.0000000000000004       -0.015916343028732766
3.000000000000001         0.5000000000000007       3.000000000000001        -0.033117892027425364
0.5000000000000001        3                        2.5                      0.06413962355387313
1.0000000000000002        3.0000000000000004       2.500000000000001        0.06367806305805226
1.5000000000000002        3                        2.5000000000000004       0.06282264156991071
2                         3.0000000000000004       2.5000000000000004       0.061573359089448484
2.5000000000000004        3.0000000000000013       2.5000000000000013       0.059930215616665575
0.5000000000000001        3.0000000000000004       2.0000000000000004       0.05903697821486122
1.0000000000000002        3.0000000000000004       2.0000000000000004       0.06015759268332244
1.5000000000000002        3                        2                        0.06088434615946298
2                         3.0000000000000004       2.0000000000000004       0.06121723864328284
0.5                       3.0000000000000004       1.5                      0.05085601072175898
1                         3.000000000000001        1.5000000000000004       0.0535588001545023
1.5                       3                        1.5                      0.05586772859492491
0.5                       3.0000000000000004       1.0000000000000002       0.03959672107456641
1                         3.0000000000000004       1.0000000000000004       0.04388168547159181
0.5                       3.000000000000001        0.5000000000000007       0.025259109273283502
3                         3                        3                        0.0520066595150731
3                         3                        0.5                      0.02850857247789929
2.5                       3                        0.5000000000000001       0.027858679836976128
2.5                       3                        0                        0
2.9999999999999996        2.9999999999999996       1                        0.04908082659897706
2.500000000000001         3.0000000000000004       1.0000000000000002       0.047781041317130755
2.0000000000000004        3.0000000000000004       0.5000000000000001       0.027208787196052974
2                         2.9999999999999996       0                        0
3                         3                        1.5                      0.061716762363233334
2.5000000000000004        3                        1.5000000000000002       0.059767084440463865
2.0000000000000004        3.0000000000000004       1.0000000000000002       0.046481256035284434
1.5                       3.0000000000000004       0.5                      0.02655889455512981
1.5                       3                        0                        0
2.9999999999999996        2.9999999999999996       2                        0.06641637977066808
2.5000000000000004        3.0000000000000004       2                        0.06381680920697548
2                         3                        1.5000000000000002       0.05781740651769439
1.5000000000000004        3.000000000000001        1                        0.04518147075343811
1.0000000000000002        3.0000000000000004       0.5                      0.025909001914206652
0.9999999999999998        2.9999999999999996       0                        0
3.0000000000000004        3.0000000000000004       2.5000000000000004       0.06317967882128134
0.5000000000000002        3.0000000000000004       0                        0
3                         2.5                      1.0000000000000002       0.03125127730790327
3                         2.5                      0.5                      0.010433703768633744
3.0000000000000004        2.500000000000001        1.5000000000000002       0.044132532490351296
3                         2.5000000000000004       2                        0.04907746931597781
3.0000000000000004        2.5000000000000004       2.5                      0.04608608778478282
3.0000000000000004        2.0000000000000004       1.5000000000000002       0.0264599832723728
2.9999999999999996        2                        1                        0.013333408671733028
3.0000000000000004        2.0000000000000004       2.0000000000000004       0.031650239516191066
3                         2                        2.5                      0.02890417740318782
3.0000000000000004        1.5                      2                        0.01413469037130787
3                         1.5                      1.5                      0.00869911470929786
3.000000000000001         1.5000000000000004       2.5000000000000004       0.011633947676496373
3.0000000000000004        1.0000000000000002       2.5                      -0.005724601395291513
2.9999999999999996        0.9999999999999998       2                        -0.0034691781186717745
3.0000000000000004        0.5000000000000002       2.5000000000000004       -0.02317146981217586
3                         3                        0                        0
3                         0.5                      0                        0
2.5                       1.0000000000000002       0                        0
2.9999999999999996        1                        0                        0
2.500000000000001         1.5000000000000002       0                        0
2.0000000000000004        1.5000000000000002       0                        0
3                         1.5                      0                        0
2.5000000000000004        2                        0                        0
2.0000000000000004        2.0000000000000004       0                        0
1.5                       2                        0                        0
2.9999999999999996        2                        0                        0
2.5000000000000004        2.5                      0                        0
2                         2.5                      0                        0
1.5000000000000004        2.5000000000000004       0                        0
1.0000000000000002        2.5                      0                        0
3.0000000000000004        2.5000000000000004       0                        0
3                         0.5000000000000001       0.5                      -0.014476406527946808
3.0000000000000004        1.0000000000000002       0.5000000000000002       -0.008248878953801674
3                         1.5000000000000002       0.5                      -0.0020213513796565326
3.0000000000000004        2                        0.5                      0.004206176194488605
3.0000000000000004        0.5000000000000001       1.0000000000000002       -0.024031756773137805
3.0000000000000004        1.0000000000000002       1.0000000000000002       -0.011576701624847524
3                         1.5000000000000002       1                        8.783535234427543E-4
3.0000000000000004        0.5                      1.5000000000000002       -0.028666050735572973
3.000000000000001         1                        1.5000000000000002       -0.009983468013137561
3.0000000000000004        0.5                      2                        -0.028379288415252328
