frame	time	光标 6	units
0	2002-06-12 22:39:15.946000	1.613406e+01	C
1	2002-06-12 22:39:16.105000	1.612672e+01	C
2	2002-06-12 22:39:16.265000	1.610467e+01	C
3	2002-06-12 22:39:16.585000	1.613406e+01	C
4	2002-06-12 22:39:16.746000	1.613406e+01	C
5	2002-06-12 22:39:16.906000	1.610467e+01	C
6	2002-06-12 22:39:17.226000	1.613406e+01	C
7	2002-06-12 22:39:17.386000	1.611937e+01	C
8	2002-06-12 22:39:17.546000	1.609732e+01	C
9	2002-06-12 22:39:17.866000	1.615610e+01	C
10	2002-06-12 22:39:18.026000	1.611202e+01	C
11	2002-06-12 22:39:18.186000	1.608997e+01	C
12	2002-06-12 22:39:18.506000	1.612672e+01	C
13	2002-06-12 22:39:18.666000	1.611937e+01	C
14	2002-06-12 22:39:18.826000	1.609732e+01	C
15	2002-06-12 22:39:19.146000	1.615610e+01	C
16	2002-06-12 22:39:19.306000	1.608997e+01	C
17	2002-06-12 22:39:19.466000	1.607527e+01	C
18	2002-06-12 22:39:19.626000	1.611202e+01	C
19	2002-06-12 22:39:19.946000	1.603116e+01	C
20	2002-06-12 22:39:20.106000	1.609732e+01	C
21	2002-06-12 22:39:20.266000	1.607527e+01	C
22	2002-06-12 22:39:20.586000	1.614876e+01	C
23	2002-06-12 22:39:20.746000	1.623686e+01	C
24	2002-06-12 22:39:20.906000	1.618548e+01	C
25	2002-06-12 22:39:21.226000	1.628823e+01	C
26	2002-06-12 22:39:21.386000	1.625154e+01	C
27	2002-06-12 22:39:21.546000	1.625154e+01	C
28	2002-06-12 22:39:21.866000	1.624420e+01	C
29	2002-06-12 22:39:22.026000	1.628823e+01	C
30	2002-06-12 22:39:22.186000	1.626622e+01	C
31	2002-06-12 22:39:22.506000	1.642750e+01	C
32	2002-06-12 22:39:22.666000	1.641285e+01	C
33	2002-06-12 22:39:22.826000	1.645680e+01	C
34	2002-06-12 22:39:23.146000	1.653000e+01	C
35	2002-06-12 22:39:23.306000	1.655927e+01	C
36	2002-06-12 22:39:23.466000	1.658121e+01	C
37	2002-06-12 22:39:23.626000	1.658853e+01	C
38	2002-06-12 22:39:23.786000	1.659584e+01	C
39	2002-06-12 22:39:23.946000	1.665433e+01	C
40	2002-06-12 22:39:24.106000	1.664702e+01	C
41	2002-06-12 22:39:24.266000	1.666895e+01	C
42	2002-06-12 22:39:24.426000	1.669086e+01	C
43	2002-06-12 22:39:24.586000	1.673469e+01	C
44	2002-06-12 22:39:24.746000	1.677850e+01	C
45	2002-06-12 22:39:24.906000	1.681499e+01	C
46	2002-06-12 22:39:25.226000	1.693168e+01	C
47	2002-06-12 22:39:25.386000	1.696083e+01	C
48	2002-06-12 22:39:25.546000	1.693897e+01	C
49	2002-06-12 22:39:25.866000	1.696083e+01	C
50	2002-06-12 22:39:26.026000	1.711373e+01	C
51	2002-06-12 22:39:26.186000	1.709918e+01	C
52	2002-06-12 22:39:26.506000	1.725914e+01	C
53	2002-06-12 22:39:26.666000	1.723734e+01	C
54	2002-06-12 22:39:26.826000	1.724460e+01	C
55	2002-06-12 22:39:27.148000	1.733176e+01	C
56	2002-06-12 22:39:27.308000	1.740433e+01	C
57	2002-06-12 22:39:27.470000	1.741159e+01	C
58	2002-06-12 22:39:27.628000	1.738257e+01	C
59	2002-06-12 22:39:27.788000	1.746235e+01	C
60	2002-06-12 22:39:27.948000	1.753483e+01	C
61	2002-06-12 22:39:28.109000	1.753483e+01	C
62	2002-06-12 22:39:28.268000	1.765069e+01	C
63	2002-06-12 22:39:28.429000	1.759278e+01	C
64	2002-06-12 22:39:28.588000	1.760726e+01	C
65	2002-06-12 22:39:28.749000	1.763622e+01	C
66	2002-06-12 22:39:28.909000	1.770857e+01	C
67	2002-06-12 22:39:29.229000	1.785313e+01	C
68	2002-06-12 22:39:29.389000	1.791089e+01	C
69	2002-06-12 22:39:29.549000	1.797584e+01	C
70	2002-06-12 22:39:29.869000	1.806958e+01	C
71	2002-06-12 22:39:30.029000	1.792533e+01	C
72	2002-06-12 22:39:30.189000	1.803353e+01	C
73	2002-06-12 22:39:30.509000	1.812722e+01	C
74	2002-06-12 22:39:30.669000	1.817043e+01	C
75	2002-06-12 22:39:30.829000	1.817043e+01	C
76	2002-06-12 22:39:31.149000	1.828557e+01	C
77	2002-06-12 22:39:31.309000	1.832871e+01	C
78	2002-06-12 22:39:31.469000	1.847957e+01	C
79	2002-06-12 22:39:31.629000	1.831433e+01	C
80	2002-06-12 22:39:31.789000	1.841494e+01	C
81	2002-06-12 22:39:31.949000	1.850110e+01	C
82	2002-06-12 22:39:32.109000	1.860870e+01	C
83	2002-06-12 22:39:32.269000	1.872334e+01	C
84	2002-06-12 22:39:32.429000	1.865171e+01	C
85	2002-06-12 22:39:32.589000	1.876630e+01	C
86	2002-06-12 22:39:32.749000	1.873767e+01	C
87	2002-06-12 22:39:32.909000	1.884502e+01	C
88	2002-06-12 22:39:33.069000	1.881640e+01	C
89	2002-06-12 22:39:33.229000	1.893081e+01	C
90	2002-06-12 22:39:33.389000	1.895225e+01	C
91	2002-06-12 22:39:33.549000	1.899512e+01	C
92	2002-06-12 22:39:33.709000	1.897369e+01	C
93	2002-06-12 22:39:33.869000	1.900940e+01	C
94	2002-06-12 22:39:34.029000	1.905224e+01	C
95	2002-06-12 22:39:34.189000	1.907365e+01	C
96	2002-06-12 22:39:34.509000	1.928754e+01	C
97	2002-06-12 22:39:34.669000	1.942989e+01	C
98	2002-06-12 22:39:34.829000	1.933738e+01	C
99	2002-06-12 22:39:35.149000	1.951520e+01	C
100	2002-06-12 22:39:35.309000	1.941566e+01	C
101	2002-06-12 22:39:35.469000	1.947966e+01	C
102	2002-06-12 22:39:35.629000	1.957914e+01	C
103	2002-06-12 22:39:35.789000	1.957914e+01	C
104	2002-06-12 22:39:35.949000	1.956493e+01	C
105	2002-06-12 22:39:36.109000	1.956493e+01	C
106	2002-06-12 22:39:36.269000	1.962174e+01	C
107	2002-06-12 22:39:36.429000	1.963594e+01	C
108	2002-06-12 22:39:36.589000	1.967142e+01	C
109	2002-06-12 22:39:36.749000	1.965723e+01	C
110	2002-06-12 22:39:36.909000	1.975653e+01	C
111	2002-06-12 22:39:37.069000	1.973526e+01	C
112	2002-06-12 22:39:37.229000	1.989824e+01	C
113	2002-06-12 22:39:37.389000	1.994778e+01	C
114	2002-06-12 22:39:37.549000	1.987699e+01	C
